incident_id,categoria,subcategoria,prioridad,servicio_afectado,canal_entrada,tiempo_resolucion_horas,sla_incumplido,reaperturas,escalados,satisfaccion_usuario,coste_estimado,descripcion_corta,causa_raiz_simulada,synthetic_segment
INC-2026-000001,Base de datos,Consulta lenta,critica,API pagos,monitoreo,1.0,True,0,1,6.2,2102.04,Base de datos reporta Consulta lenta con posible causa Capacidad insuficiente.,Capacidad insuficiente,Incidencias criticas recurrentes
INC-2026-000002,Base de datos,Conexion,alta,API pagos,chat,2.5,False,1,5,6.6,2019.34,Incidencia en API pagos; patron observado: Conexion.,Regla de escalamiento debil,Incidencias criticas recurrentes
INC-2026-000003,Cambios,Versionado,media,Portal clientes,telefono,28.22,True,1,1,7.3,2689.7,Usuario reporta problema en Portal clientes; se detecta Versionado.,Configuracion inconsistente,Incidencias asociadas a cambios
INC-2026-000004,Aplicacion,Error 500,alta,Plataforma cloud,monitoreo,29.51,True,1,1,,962.4,Incidencia en Plataforma cloud; patron observado: Error 500.,Despliegue fallido,Incidencias asociadas a cambios
INC-2026-000005,Soporte,Permisos,baja,Mesa de ayuda,monitoreo,4.31,False,0,0,9.5,52.07,Usuario reporta problema en Mesa de ayuda; se detecta Permisos.,Configuracion menor,Incidencias simples de bajo impacto
INC-2026-000006,Base de datos,Conexion,critica,Base de datos transaccional,telefono,1.39,False,1,1,4.5,1435.38,Base de datos reporta Conexion con posible causa Defecto recurrente.,Defecto recurrente,Incidencias criticas recurrentes
INC-2026-000007,Base de datos,Conexion,media,API pagos,monitoreo,62.53,True,1,4,5.6,2603.16,Incidencia en API pagos; patron observado: Conexion.,Dependencia de terceros,Incidencias complejas de larga resolucion
INC-2026-000008,Seguridad,Vulnerabilidad,alta,IAM,monitoreo,0.5,False,0,3,6.7,5484.2,IAM: Vulnerabilidad asociado a Credenciales comprometidas.,Credenciales comprometidas,Incidencias de seguridad
INC-2026-000009,Soporte,Permisos,baja,Mesa de ayuda,monitoreo,2.17,False,0,0,6.9,58.43,Usuario reporta problema en Mesa de ayuda; se detecta Permisos.,Configuracion menor,Incidencias simples de bajo impacto
INC-2026-000010,Seguridad,Malware,critica,IAM,portal,11.47,True,1,5,6.2,640.25,Usuario reporta problema en IAM; se detecta Malware.,Politica de acceso debil,Incidencias de seguridad
INC-2026-000011,Soporte,Consulta,baja,Correo corporativo,email,3.83,False,0,0,8.0,69.6,Correo corporativo: Consulta asociado a Solicitud operativa.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000012,Cambios,Configuracion,alta,Plataforma cloud,telefono,35.43,True,2,2,5.2,2152.45,Usuario reporta problema en Plataforma cloud; se detecta Configuracion.,Configuracion inconsistente,Incidencias asociadas a cambios
INC-2026-000013,Infraestructura,Storage,alta,ERP financiero,email,65.79,True,1,2,6.3,1595.3,Usuario reporta problema en ERP financiero; se detecta Storage.,Dependencia de terceros,Incidencias complejas de larga resolucion
INC-2026-000014,Infraestructura,Storage,critica,Mesa de ayuda,,19.99,True,3,0,6.2,1125.59,Incidencia en Mesa de ayuda; patron observado: Storage.,Defecto recurrente,Incidencias criticas recurrentes
INC-2026-000015,Base de datos,Conexion,alta,ERP financiero,portal,60.09,True,2,0,5.3,2123.13,ERP financiero: Conexion asociado a Arquitectura compleja.,Arquitectura compleja,Incidencias complejas de larga resolucion
INC-2026-000016,Aplicacion,Error 500,critica,IAM,telefono,1.16,False,0,1,6.5,827.72,Incidencia en IAM; patron observado: Error 500.,Regla de escalamiento debil,Incidencias criticas recurrentes
INC-2026-000017,Aplicacion,Integracion,baja,API pagos,portal,2.82,False,0,0,8.7,29.15,Incidencia en API pagos; patron observado: Integracion.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000018,Infraestructura,Storage,critica,IAM,api,29.13,True,1,1,4.8,485.02,Usuario reporta problema en IAM; se detecta Storage.,Defecto recurrente,Incidencias criticas recurrentes
INC-2026-000019,Seguridad,Vulnerabilidad,alta,Correo corporativo,email,19.39,True,2,5,6.2,464.18,Usuario reporta problema en Correo corporativo; se detecta Vulnerabilidad.,Credenciales comprometidas,Incidencias de seguridad
INC-2026-000020,Infraestructura,Storage,alta,ERP financiero,portal,65.37,True,3,1,3.1,1366.61,Incidencia en ERP financiero; patron observado: Storage.,,Incidencias complejas de larga resolucion
INC-2026-000021,Soporte,Permisos,media,Mesa de ayuda,portal,0.2,False,0,0,8.7,104.83,Usuario reporta problema en Mesa de ayuda; se detecta Permisos.,Configuracion menor,Incidencias simples de bajo impacto
INC-2026-000022,Infraestructura,CPU alta,alta,Base de datos transaccional,chat,6.17,True,1,1,7.3,1863.45,Base de datos transaccional: CPU alta asociado a Cambio no validado.,Cambio no validado,Incidencias asociadas a cambios
INC-2026-000023,Cambios,Rollback,critica,API pagos,monitoreo,50.07,True,0,3,5.4,20.0,Usuario reporta problema en API pagos; se detecta Rollback.,Configuracion inconsistente,Incidencias asociadas a cambios
INC-2026-000024,Base de datos,Backup,alta,Base de datos transaccional,portal,12.75,True,1,3,4.8,1124.74,Incidencia en Base de datos transaccional; patron observado: Backup.,Regla de escalamiento debil,Incidencias criticas recurrentes
INC-2026-000025,Aplicacion,Integracion,baja,Plataforma cloud,monitoreo,6.62,False,0,0,8.3,64.3,Plataforma cloud: Integracion asociado a Configuracion menor.,Configuracion menor,Incidencias simples de bajo impacto
INC-2026-000026,Infraestructura,Red,alta,Mesa de ayuda,portal,23.79,True,2,5,5.7,3907.94,Mesa de ayuda: Red asociado a Deuda tecnica.,Deuda tecnica,Incidencias complejas de larga resolucion
INC-2026-000027,Soporte,Solicitud,baja,Portal clientes,telefono,4.25,False,0,1,7.4,,Soporte reporta Solicitud con posible causa Solicitud operativa.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000028,Infraestructura,Storage,media,Correo corporativo,email,60.8,True,3,5,4.0,3123.61,Usuario reporta problema en Correo corporativo; se detecta Storage.,Dependencia de terceros,Incidencias complejas de larga resolucion
INC-2026-000029,Aplicacion,Error 500,alta,ERP financiero,email,1.68,False,2,2,6.5,766.39,Incidencia en ERP financiero; patron observado: Error 500.,Monitoreo tardio,Incidencias criticas recurrentes
INC-2026-000030,Infraestructura,Storage,critica,Base de datos transaccional,monitoreo,27.57,True,3,1,6.5,1466.58,Usuario reporta problema en Base de datos transaccional; se detecta Storage.,Capacidad insuficiente,Incidencias criticas recurrentes
INC-2026-000031,Seguridad,Phishing,critica,Correo corporativo,email,26.33,True,0,3,5.3,3373.88,Usuario reporta problema en Correo corporativo; se detecta Phishing.,Politica de acceso debil,Incidencias de seguridad
INC-2026-000032,Seguridad,Malware,alta,Correo corporativo,portal,0.5,False,1,3,7.1,6551.08,Seguridad reporta Malware con posible causa Politica de acceso debil.,Politica de acceso debil,Incidencias de seguridad
INC-2026-000033,Soporte,Consulta,media,Mesa de ayuda,email,1.31,True,0,0,8.6,46.48,Usuario reporta problema en Mesa de ayuda; se detecta Consulta.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000034,Aplicacion,Error funcional,baja,Plataforma cloud,portal,3.14,False,2,0,8.8,128.72,Plataforma cloud: Error funcional asociado a Configuracion menor.,Configuracion menor,Incidencias simples de bajo impacto
INC-2026-000035,Soporte,Solicitud,baja,Correo corporativo,monitoreo,95.09,True,3,3,2.6,13386.38,Incidencia en Correo corporativo; patron observado: Solicitud.,Combinacion inusual de sintomas,Casos anomalos
INC-2026-000036,Aplicacion,Error 500,alta,IAM,monitoreo,31.04,True,3,0,4.4,388.82,Incidencia en IAM; patron observado: Error 500.,Dependencia de terceros,Incidencias complejas de larga resolucion
