incident_id,categoria,subcategoria,prioridad,servicio_afectado,canal_entrada,tiempo_resolucion_horas,sla_incumplido,reaperturas,escalados,satisfaccion_usuario,coste_estimado,descripcion_corta,causa_raiz_simulada,synthetic_segment
INC-2026-000001,Seguridad,Malware,alta,IAM,telefono,8.43,True,2,5,6.3,2347.61,IAM: Malware asociado a Vulnerabilidad sin parche.,Vulnerabilidad sin parche,Incidencias de seguridad
INC-2026-000002,Infraestructura,Memoria,critica,API pagos,chat,5.33,True,1,1,5.0,975.43,Incidencia en API pagos; patron observado: Memoria.,Defecto recurrente,Incidencias criticas recurrentes
INC-2026-000003,Cambios,Rollback,alta,ERP financiero,telefono,25.31,True,2,0,6.6,2946.24,ERP financiero: Rollback asociado a Configuracion inconsistente.,Configuracion inconsistente,Incidencias asociadas a cambios
INC-2026-000004,Base de datos,Bloqueos,alta,ERP financiero,email,71.73,True,1,3,6.1,2510.21,Base de datos reporta Bloqueos con posible causa Dependencia de terceros.,Dependencia de terceros,Incidencias complejas de larga resolucion
INC-2026-000005,Soporte,Solicitud,baja,Mesa de ayuda,api,3.06,False,0,0,8.4,115.12,Mesa de ayuda: Solicitud asociado a Configuracion menor.,Configuracion menor,Incidencias simples de bajo impacto
INC-2026-000006,Seguridad,Vulnerabilidad,alta,IAM,,14.32,True,0,5,6.9,6168.05,Usuario reporta problema en IAM; se detecta Vulnerabilidad.,Vulnerabilidad sin parche,Incidencias de seguridad
INC-2026-000007,Seguridad,Acceso,alta,Plataforma cloud,email,5.85,False,1,1,6.6,4604.57,Usuario reporta problema en Plataforma cloud; se detecta Acceso.,Phishing,Incidencias de seguridad
INC-2026-000008,Infraestructura,Memoria,critica,Mesa de ayuda,telefono,7.59,True,4,1,5.2,1757.4,Incidencia en Mesa de ayuda; patron observado: Memoria.,Capacidad insuficiente,Incidencias criticas recurrentes
INC-2026-000009,Soporte,Solicitud,alta,Mesa de ayuda,email,127.9,True,3,5,3.4,13722.89,Mesa de ayuda: Solicitud asociado a Combinacion inusual de sintomas.,Combinacion inusual de sintomas,Casos anomalos
INC-2026-000010,Soporte,Solicitud,baja,Correo corporativo,portal,4.29,False,1,0,8.9,20.42,Incidencia en Correo corporativo; patron observado: Solicitud.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000011,Cambios,Despliegue,media,ERP financiero,email,19.74,False,1,0,6.9,1015.86,Cambios reporta Despliegue con posible causa Configuracion inconsistente.,Configuracion inconsistente,Incidencias asociadas a cambios
INC-2026-000012,Cambios,Rollback,media,ERP financiero,,35.33,True,1,1,7.5,2369.9,Usuario reporta problema en ERP financiero; se detecta Rollback.,Despliegue fallido,Incidencias asociadas a cambios
INC-2026-000013,Base de datos,Conexion,alta,API pagos,chat,10.45,True,4,0,7.4,872.0,Incidencia en API pagos; patron observado: Conexion.,Regla de escalamiento debil,Incidencias criticas recurrentes
INC-2026-000014,Soporte,Permisos,baja,Correo corporativo,monitoreo,3.91,False,0,0,8.9,138.0,Correo corporativo: Permisos asociado a Solicitud operativa.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000015,Seguridad,Acceso,alta,IAM,chat,5.24,False,1,3,7.1,6041.36,Seguridad reporta Acceso con posible causa Phishing.,,Incidencias de seguridad
INC-2026-000016,Base de datos,Backup,alta,Base de datos transaccional,portal,41.32,True,3,3,7.3,2592.47,Usuario reporta problema en Base de datos transaccional; se detecta Backup.,Deuda tecnica,Incidencias complejas de larga resolucion
INC-2026-000017,Infraestructura,Storage,critica,Portal clientes,email,21.13,True,3,4,4.4,1298.56,Usuario reporta problema en Portal clientes; se detecta Storage.,Defecto recurrente,Incidencias criticas recurrentes
INC-2026-000018,Aplicacion,Error funcional,alta,IAM,portal,25.28,True,2,0,4.4,899.62,IAM: Error funcional asociado a Monitoreo tardio.,Monitoreo tardio,Incidencias criticas recurrentes
INC-2026-000019,Aplicacion,Integracion,alta,Portal clientes,email,54.59,True,2,3,4.9,1339.97,Usuario reporta problema en Portal clientes; se detecta Integracion.,Dependencia de terceros,Incidencias complejas de larga resolucion
INC-2026-000020,Aplicacion,Lentitud,critica,Red corporativa,email,9.33,True,0,1,5.6,2154.17,Usuario reporta problema en Red corporativa; se detecta Lentitud.,Capacidad insuficiente,Incidencias criticas recurrentes
INC-2026-000021,Base de datos,Consulta lenta,alta,Base de datos transaccional,monitoreo,62.41,True,0,3,4.2,2736.96,Incidencia en Base de datos transaccional; patron observado: Consulta lenta.,Dependencia de terceros,Incidencias complejas de larga resolucion
INC-2026-000022,Aplicacion,Error 500,alta,API pagos,monitoreo,3.14,True,1,2,5.9,1416.04,Aplicacion reporta Error 500 con posible causa Capacidad insuficiente.,Capacidad insuficiente,Incidencias criticas recurrentes
INC-2026-000023,Soporte,Permisos,baja,Portal clientes,email,3.61,False,0,0,8.8,28.86,Soporte reporta Permisos con posible causa Error de usuario.,Error de usuario,Incidencias simples de bajo impacto
INC-2026-000024,Soporte,Consulta,baja,Portal clientes,email,3.95,False,0,0,8.6,28.33,Portal clientes: Consulta asociado a Documentacion insuficiente.,,Incidencias simples de bajo impacto
INC-2026-000025,Seguridad,Vulnerabilidad,alta,Red corporativa,chat,12.34,True,0,2,6.2,2577.28,Usuario reporta problema en Red corporativa; se detecta Vulnerabilidad.,Vulnerabilidad sin parche,Incidencias de seguridad
INC-2026-000026,Cambios,Versionado,media,Plataforma cloud,monitoreo,10.28,False,1,4,7.4,1974.56,Plataforma cloud: Versionado asociado a Configuracion inconsistente.,Configuracion inconsistente,Incidencias asociadas a cambios
INC-2026-000027,Base de datos,Backup,alta,API pagos,chat,62.96,True,2,3,,3827.94,Usuario reporta problema en API pagos; se detecta Backup.,Dependencia de terceros,Incidencias complejas de larga resolucion
INC-2026-000028,Infraestructura,Storage,alta,Base de datos transaccional,portal,12.46,True,4,4,4.5,1493.8,Usuario reporta problema en Base de datos transaccional; se detecta Storage.,Defecto recurrente,Incidencias criticas recurrentes
INC-2026-000029,Base de datos,Consulta lenta,alta,ERP financiero,portal,72.34,True,2,6,1.0,3313.52,ERP financiero: Consulta lenta asociado a Registro incompleto.,Registro incompleto,Casos anomalos
INC-2026-000030,Seguridad,Acceso,critica,Plataforma cloud,portal,8.4,True,0,3,6.1,8306.65,Plataforma cloud: Acceso asociado a Vulnerabilidad sin parche.,Vulnerabilidad sin parche,Incidencias de seguridad
INC-2026-000031,Aplicacion,Lentitud,media,Mesa de ayuda,portal,6.05,False,0,2,7.4,104.25,Aplicacion reporta Lentitud con posible causa Solicitud operativa.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000032,Base de datos,Bloqueos,alta,API pagos,email,52.68,True,3,1,5.2,5108.56,Usuario reporta problema en API pagos; se detecta Bloqueos.,Deuda tecnica,Incidencias complejas de larga resolucion
INC-2026-000033,Soporte,Consulta,critica,Mesa de ayuda,portal,73.84,True,2,6,4.7,6698.0,Soporte reporta Consulta con posible causa Falla intermitente no reproducible.,Falla intermitente no reproducible,Casos anomalos
INC-2026-000034,Aplicacion,Lentitud,media,IAM,monitoreo,28.05,True,0,0,5.8,1718.74,Usuario reporta problema en IAM; se detecta Lentitud.,Despliegue fallido,Incidencias asociadas a cambios
INC-2026-000035,Base de datos,Backup,critica,Base de datos transaccional,portal,26.91,True,1,1,6.9,718.34,Base de datos transaccional: Backup asociado a Defecto recurrente.,Defecto recurrente,Incidencias criticas recurrentes
INC-2026-000036,Base de datos,Bloqueos,critica,ERP financiero,monitoreo,22.08,True,2,1,5.8,680.95,Base de datos reporta Bloqueos con posible causa Regla de escalamiento debil.,Regla de escalamiento debil,Incidencias criticas recurrentes
INC-2026-000037,Infraestructura,Red,alta,Mesa de ayuda,monitoreo,53.98,True,1,3,6.3,3888.66,Mesa de ayuda: Red asociado a Deuda tecnica.,Deuda tecnica,Incidencias complejas de larga resolucion
INC-2026-000038,Seguridad,Acceso,alta,Correo corporativo,email,39.71,True,2,3,6.2,6995.94,Incidencia en Correo corporativo; patron observado: Acceso.,Politica de acceso debil,Incidencias de seguridad
INC-2026-000039,Cambios,Rollback,media,Plataforma cloud,portal,4.96,True,1,1,5.7,1944.62,Cambios reporta Rollback con posible causa Rollback incompleto.,Rollback incompleto,Incidencias asociadas a cambios
INC-2026-000040,Aplicacion,Integracion,critica,Mesa de ayuda,api,12.23,True,0,1,5.3,1750.68,Aplicacion reporta Integracion con posible causa Monitoreo tardio.,,Incidencias criticas recurrentes
INC-2026-000041,Infraestructura,Red,critica,Portal clientes,portal,21.74,True,1,3,6.4,966.42,Incidencia en Portal clientes; patron observado: Red.,Monitoreo tardio,Incidencias criticas recurrentes
INC-2026-000042,Soporte,Solicitud,baja,Correo corporativo,monitoreo,2.96,False,0,0,8.6,37.26,Incidencia en Correo corporativo; patron observado: Solicitud.,Configuracion menor,Incidencias simples de bajo impacto
INC-2026-000043,Infraestructura,CPU alta,alta,IAM,portal,21.78,True,3,1,4.9,636.56,IAM: CPU alta asociado a Defecto recurrente.,Defecto recurrente,Incidencias criticas recurrentes
INC-2026-000044,Aplicacion,Error funcional,baja,API pagos,portal,0.38,False,0,0,8.3,141.58,Incidencia en API pagos; patron observado: Error funcional.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000045,Soporte,Solicitud,baja,Correo corporativo,,6.24,False,0,0,8.0,20.0,Incidencia en Correo corporativo; patron observado: Solicitud.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000046,Aplicacion,Error 500,baja,Mesa de ayuda,api,1.68,False,1,0,8.9,23.45,Usuario reporta problema en Mesa de ayuda; se detecta Error 500.,Solicitud operativa,Incidencias simples de bajo impacto
INC-2026-000047,Soporte,Permisos,baja,Portal clientes,portal,2.94,False,0,0,8.9,23.4,Incidencia en Portal clientes; patron observado: Permisos.,Configuracion menor,Incidencias simples de bajo impacto
